All_Cases_1to2wk	EQBO_1to2wk	WQBO_1to2wk	EQBO_with_ws<13m/s_1to2wk	WQBO_and_EQBO_with_WS>13m/s_1to2wk	EQBO_with_ws<10m/s_1to2wk	WQBO_and_EQBO_with_WS>10m/s_1to2wk	EQBO_with_ws<7m/s_1to2wk	WQBO_and_EQBO_with_WS>7m/s_1to2wk	ZMZW_at_60N_10hPa<3.8m/s_1to2wk	ZMZW_at_60N_10hPa>3.8m/s_1to2wk	SWIneg_1to2wk	SWIplain_1to2wk	All_Cases_3to4wk	EQBO_3to4wk	WQBO_3to4wk	EQBO_with_ws<13m/s_3to4wk	WQBO_and_EQBO_with_WS>13m/s_3to4wk	EQBO_with_ws<10m/s_3to4wk	WQBO_and_EQBO_with_WS>10m/s_3to4wk	EQBO_with_ws<7m/s_3to4wk	WQBO_and_EQBO_with_WS>7m/s_3to4wk	ZMZW_at_60N_10hPa<3.8m/s_3to4wk	ZMZW_at_60N_10hPa>3.8m/s_3to4wk	SWIneg_3to4wk	SWIplain_3to4wk	All_Cases_5to6wk	EQBO_5to6wk	WQBO_5to6wk	EQBO_with_ws<13m/s_5to6wk	WQBO_and_EQBO_with_WS>13m/s_5to6wk	EQBO_with_ws<10m/s_5to6wk	WQBO_and_EQBO_with_WS>10m/s_5to6wk	EQBO_with_ws<7m/s_5to6wk	WQBO_and_EQBO_with_WS>7m/s_5to6wk	ZMZW_at_60N_10hPa<3.8m/s_5to6wk	ZMZW_at_60N_10hPa>3.8m/s_5to6wk	SWIneg_5to6wk	SWIplain_5to6wk
1.367	-2.654	-1.056	-2.654	-0.288	-2.611	-0.362	NA	-0.916	NA	-0.056	-2.729	-0.178	0.749	-4.353	-1.466	-1.99	-0.795	-1.965	-1.827	NA	-0.596	NA	-2.171	-2.029	0.488	1.797	-2.286	-0.272	-2.757	-1.016	-1.191	-0.029	NA	-0.478	NA	-3.482	-2.013	2.01
1.797	-2.286	-1.87	-2.245	-1.016	-1.009	-0.178	NA	-0.478	NA	-3.482	-3.178	2.01	1.346	-3.607	-1.646	-3.575	-1.443	-1.28	0.488	NA	0.069	NA	-2.102	-1.493	1.023	-0.318	-2.517	0.302	-0.76	-0.557	-0.257	2.01	NA	-0.781	NA	-0.327	-0.694	-0.872
-0.056	-2.509	0.573	-0.576	0.569	NA	2.01	NA	-0.985	NA	-0.327	-3.846	-0.872	-2.171	-0.583	-1.091	-0.707	0.268	NA	1.023	NA	0.922	NA	-0.029	-5.821	-1.504	-3.482	-1.593	2.185	-0.516	-3.17	NA	-0.872	NA	-2.671	NA	0.094	-5.533	-2.288
-3.482	-2.213	1.339	-1.678	-2.213	NA	-0.872	NA	-2.671	NA	0.982	-5.205	-1.607	-2.102	-2.498	-2.118	-4.337	-2.498	NA	-1.504	NA	-2.562	NA	0.69	-4.73	-1.649	-0.327	-3.356	-0.933	-2.84	-3.356	NA	-2.288	NA	-3.381	NA	2.245	-2.17	-3.073
-0.327	-3.356	-1.64	-0.061	-3.356	NA	-1.607	NA	-2.597	NA	-0.916	0.123	-2.117	-0.029	-2.065	-3.293	-1.908	-2.065	NA	-1.649	NA	0.924	NA	-0.596	-3.451	2.523	0.094	-3.377	-3.035	-3.569	-3.377	NA	-3.073	NA	-0.873	NA	-0.478	-2.906	-0.288
0.982	-3.063	-0.488	-2.087	-3.063	NA	-2.117	NA	-1.138	NA	-0.478	-2.465	-0.288	0.69	-0.381	0.916	-1.465	-0.381	NA	2.523	NA	-1.2	NA	0.069	0.336	-0.795	2.245	-0.88	0.189	-1.348	-0.88	NA	-0.288	NA	0.097	NA	-0.781	0.076	-1.016
-0.916	-4.269	0.189	-0.844	0.03	NA	-0.288	NA	0.097	NA	-0.985	-1.26	-1.016	-0.596	-3.15	0.129	0.055	-0.048	NA	-0.795	NA	-0.427	NA	0.922	-2.62	-1.443	-0.478	-2.726	0.093	-3.767	0.443	NA	-1.016	NA	0.114	NA	-2.671	-3.802	-0.557
-0.478	-2.479	-2.533	-3.846	-1.434	NA	-1.016	NA	-0.362	NA	-2.671	-2.611	0.569	0.069	-0.393	-3.455	-5.821	-2.185	NA	-1.443	NA	-1.827	NA	-2.562	-1.965	0.268	-0.781	-1.854	-2.654	-5.533	-2.723	NA	-0.557	NA	-0.029	NA	-3.381	-1.191	-3.17
-0.985	-3.346	1.02	-5.533	-2.603	NA	0.569	NA	-0.178	NA	-1.415	-1.009	-1.505	0.922	-4.123	-0.625	-2.138	-1.534	NA	0.268	NA	0.488	NA	-0.892	-1.28	-1.953	-2.671	-0.468	-0.791	-5.205	-4.269	NA	-3.17	NA	2.01	NA	-2.597	-0.257	-2.654
-2.671	0.325	-0.791	-5.205	-2.479	NA	-1.505	NA	2.01	NA	-2.597	NA	-2.213	-2.562	0.433	0.71	-4.73	-0.393	NA	-1.953	NA	1.023	NA	0.924	NA	-2.498	-3.381	-1.733	1.723	-2.17	-1.854	NA	-2.654	NA	-0.872	NA	-0.873	NA	-3.356
